title,area,link,location,follow,totalPrice,unitPrice
碧桂园天玺湾 看湖景 全新精装新 含花园,进港大道,https://gz.lianjia.com/ershoufang/108400323222.html, | 2室2厅 | 79.68平米 | 西北 | 精装 | 有电梯,1人关注 / 共4次带看 / 1个月以前发布,190,单价23846元/平米
逸涛雅苑 59.2方精装两房 首付40万,进港大道,https://gz.lianjia.com/ershoufang/108400323231.html, | 2室1厅 | 59.2平米 | 西 | 精装,20人关注 / 共1次带看 / 1个月以前发布,125,单价21115元/平米
南沙碧桂园翠畔轩 2室2厅 160万,金洲,https://gz.lianjia.com/ershoufang/108400338660.html, | 2室2厅 | 77.79平米 | 北 | 精装 | 无电梯,6人关注 / 共0次带看 / 1个月以前发布,160,单价20569元/平米
滨海珺城 温馨两房 小两口二人世界,滨海花园,https://gz.lianjia.com/ershoufang/108400338679.html, | 2室2厅 | 75平米 | 北 | 精装 | 有电梯,10人关注 / 共3次带看 / 1个月以前发布,190,单价25334元/平米
碧桂园天玺湾 精装大两房165万可谈 业主急售 方便看,进港大道,https://gz.lianjia.com/ershoufang/108400342881.html, | 2室2厅 | 68.32平米 | 南 西 | 精装 | 有电梯,10人关注 / 共4次带看 / 1个月以前发布,158,单价23127元/平米
此房房产证过二税费低，视野开阔,进港大道,https://gz.lianjia.com/ershoufang/108400345187.html, | 2室2厅 | 76.88平米 | 东南 | 精装 | 有电梯,1人关注 / 共0次带看 / 1个月以前发布,175,单价22763元/平米
广晟海韵兰庭 2室2厅 180万,进港大道,https://gz.lianjia.com/ershoufang/108400345975.html, | 2室2厅 | 81平米 | 东南 | 精装 | 有电梯,3人关注 / 共0次带看 / 1个月以前发布,180,单价22223元/平米
小两房，价格跟户型都适合刚需的小家庭,滨海花园,https://gz.lianjia.com/ershoufang/108400351173.html, | 2室2厅 | 76.21平米 | 北 | 精装 | 有电梯,6人关注 / 共0次带看 / 1个月以前发布,188,单价24669元/平米
碧桂园天玺湾 2室2厅 178万,进港大道,https://gz.lianjia.com/ershoufang/108400351583.html, | 2室2厅 | 72.96平米 | 北 | 精装 | 有电梯,0人关注 / 共5次带看 / 1个月以前发布,178,单价24397元/平米
优山悦海 2室1厅 195万,南沙港,https://gz.lianjia.com/ershoufang/108400354513.html, | 2室1厅 | 79.86平米 | 南 | 精装 | 有电梯,12人关注 / 共0次带看 / 1个月以前发布,195,单价24418元/平米
碧桂园天玺湾 2室2厅 185万,进港大道,https://gz.lianjia.com/ershoufang/108400369093.html, | 2室2厅 | 76.88平米 | 北 | 精装 | 有电梯,0人关注 / 共0次带看 / 1个月以前发布,185,单价24064元/平米
滨海珺城 精装两居室 保养好 适合刚需,滨海花园,https://gz.lianjia.com/ershoufang/108400376600.html, | 2室2厅 | 76.21平米 | 北 | 精装 | 有电梯,14人关注 / 共0次带看 / 1个月以前发布,186,单价24407元/平米
阳光城丽景湾 2室2厅 158万,进港大道,https://gz.lianjia.com/ershoufang/108400421701.html, | 2室2厅 | 83.36平米 | 东北 | 精装 | 有电梯,5人关注 / 共0次带看 / 9天以前发布,158,单价18954元/平米
凯德新玥 复式公寓 精装三房 望小区园景,榄核镇,https://gz.lianjia.com/ershoufang/108400071465.html, | 3室1厅 | 59.8平米 | 东 | 精装 | 有电梯,283人关注 / 共0次带看 / 7个月以前发布,70,单价11706元/平米
龙光棕榈水岸南区 2室2厅 155万,南沙区府,https://gz.lianjia.com/ershoufang/108400267104.html, | 2室2厅 | 57平米 | 北 | 精装 | 有电梯,27人关注 / 共5次带看 / 2个月以前发布,155,单价27193元/平米
万科南方公元 3室2厅 170万,黄阁,https://gz.lianjia.com/ershoufang/108400306431.html, | 3室2厅 | 88平米 | 南 北 | 精装,21人关注 / 共0次带看 / 2个月以前发布,170,单价19319元/平米
紫茗花园 2室2厅 135万,进港大道,https://gz.lianjia.com/ershoufang/108400358111.html, | 2室2厅 | 75.11平米 | 西南 | 毛坯 | 有电梯,22人关注 / 共5次带看 / 1个月以前发布,135,单价17974元/平米
奥园金莎广场 1室0厅 65万,金洲,https://gz.lianjia.com/ershoufang/108400414083.html, | 1室0厅 | 47.86平米 | 东南 | 精装 | 有电梯,0人关注 / 共0次带看 / 13天以前发布,65,单价13582元/平米
敏捷君御国际  精装修未住过，保养好，看方便,金洲,https://gz.lianjia.com/ershoufang/108400017179.html, | 1室0厅 | 78.17平米 | 东 | 精装 | 有电梯,26人关注 / 共0次带看 / 9个月以前发布,80,单价10235元/平米
华汇国际广场 业主诚心出售  近进港大道,进港大道,https://gz.lianjia.com/ershoufang/108400167995.html, | 1室0厅 | 55.09平米 | 南 | 简装 | 有电梯,20人关注 / 共0次带看 / 5个月以前发布,60,单价10892元/平米
奥园金莎广场 1室0厅 63万,金洲,https://gz.lianjia.com/ershoufang/108400169122.html, | 1室0厅 | 55.47平米 | 北 | 简装 | 有电梯,18人关注 / 共0次带看 / 5个月以前发布,63,单价11358元/平米
南沙万达广场 1室1厅 92万,金洲,https://gz.lianjia.com/ershoufang/108400198506.html, | 1室1厅 | 66.11平米 | 东南 | 精装 | 有电梯,1人关注 / 共0次带看 / 4个月以前发布,92,单价13917元/平米
